Letter,Tot. SSE,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,"['A', 'H']","['B', 'K', 'P', 'R']","['C', 'D', 'G', 'O', 'Q']","['E', 'F', 'L']","['I', 'J', 'T']","['M', 'N']","['U', 'V', 'Y']","['W', 'X']","['S', 'Z']"
'A',0.004822215843616316,0.0031236762685756081,0.0011894891454804781,0.99785629809372456,0.99283583064336567,0.15304033779103127,0.15759016185470334,0.96067973015537722,0.046536574095137964,0.98549541534772733,0.1338300215065068,0.96446874125965099,0.016903503806425031,0.037773686524638493,0.00022861861138180563,0.0039790678764656511,4.023103977199903e-05,0.030511253153774461,0.015369987222775616,2.9092460038356004e-05,2.6199093204535819e-06,0.00046846992798422918,0.00013613246081641074,1.9743772048504399e-05,0.0042901686515038921,5.3087547659888754e-06,0.00076817153178538905,0.001724878862481301,0.0063623752322385227,4.8293911410123092e-05,0.0043622697226262906,0.00060685018764192113,0.00048580499912767914,0.0069984107069416086,0.019829690360374089,0.011814627203866876,2.6871678982991133e-07
'A',0.010718745512728988,0.20556250329907763,0.13635008258659936,0.99850130804807857,0.95433373694447987,0.0012101255890678705,0.0021016343910367956,0.97920644546583446,0.00042393759010068505,0.93490198251102863,0.28069406380797002,0.92983511344363357,0.032425571978909322,0.017739024115340507,0.00016406930520187756,0.0030793619796232567,0.00011691454623068644,0.0054106228211876668,0.056264108826354908,1.241640517361778e-05,2.1863514569906533e-06,0.0013728663446633195,3.3203348016685667e-05,6.6315647577140133e-06,0.00326089984509155,2.5161014331874809e-06,0.0011571971664379951,0.0010561700470792768,0.023043424660650045,0.00016744761944909441,0.0028198936063232715,0.00062811029283570802,0.00034405235706713196,0.015651525185440635,0.012664776755110688,0.016286883273403895,5.6719983956285074e-07
'A',0.0099508992856304768,0.15118083326307952,0.061364024735624023,0.66753737537416857,0.91113079079892345,0.00013544684795790775,0.12965442714869918,0.99972689459842679,0.00054153402458245888,0.90368462009414796,0.11804069941744641,0.92254457895629249,0.011089389821797595,0.023261998313838288,0.00012421179113183462,0.010552923632355792,0.00054872791845413137,0.015197464102062491,0.042374431224142625,0.00019730060265547337,1.1008899613185664e-05,0.0006458697937195871,7.5302962329000848e-05,2.2110895379866875e-05,0.0086516986987035683,3.043279020556276e-06,0.0040024449106876511,0.0057901524699731088,0.01133602968104395,0.00011028874789427707,0.021108000420175226,0.0004370687276747625,0.0021372909949182463,0.0082392220176590505,0.008606973367582732,0.017423458978993864,2.0491452653551332e-06
'B',0.0033653027845807239,0.0065451534314151082,0.94949852826905945,0.93990183421955908,0.00043076705666149893,0.32870905402034872,0.016357877048813297,0.9984730017385629,0.00065908050192208835,0.94668278880487544,0.99504102090881152,0.00085604272401678674,0.95240032711910427,1.7767613061490273e-05,0.00040030122562725488,0.0097249922911271866,4.2689320761323031e-05,0.00071124589484856157,0.0013793326055006592,2.2534034706843632e-06,0.0002560980042231165,0.011245328370200619,2.4372801991949013e-05,2.1380086282314489e-05,7.0946301345097687e-05,1.319137154147073e-06,0.0018332639811472892,3.9551865622916013e-05,0.010795289789926495,0.021254978974464035,7.7742380133792422e-07,0.017320168085862158,5.9569947759889604e-05,1.7768287005385596e-05,0.00024554416469835033,0.0017662642350029473,0.00056466211024610473
'B',0.0040322598298760913,0.0047416079433466891,0.75493439146519292,0.95885794182316608,0.0029004200334520349,0.49576987293255748,0.0015239375448218673,0.9995387125452625,0.0022744069301903233,0.99813285974626531,0.99447673524585256,0.0016262754542456302,0.94093015624148524,1.5460547139773888e-05,0.0013815453957784836,0.0031589255395599765,1.4498046830232508e-05,0.0026131464138360707,0.00061232644333657769,9.6164846206312986e-07,0.00028159864836402407,0.0052704775100790042,2.2193548764368601e-05,7.6504173671674113e-05,0.00011988181284929335,1.6588313031696029e-06,0.0041652142370137779,3.5485693953789841e-05,0.011354413165165276,0.0055416415201007679,7.8813203066333909e-07,0.017652970452280009,8.7127336522639339e-05,1.5626780218756924e-05,0.00034474220955350529,0.0021501559179986141,0.00019819666323471334
'B',0.0068670574685487061,0.0025810774697982799,0.98866826920518025,0.8654679717567354,0.00019978322053217329,0.12126900194463909,0.019203092449878483,0.92163988881338021,0.027659599104159754,0.95180602386099777,0.98973603933076526,0.00098464085381924854,0.95983436670043421,1.6949465383156243e-05,0.00013161254865369596,0.028043313641600353,0.00013353786087028517,0.00042437865448784233,0.0023918207976808712,3.1473563524425592e-06,0.00019182769010323578,0.032827970732960801,2.9818350445984276e-05,1.7494687618182139e-05,0.00010540360143110972,1.7220301431783118e-06,0.0014031665156699284,0.00011079198199391276,0.018187938191534234,0.054508944944555202,1.6443652612343079e-06,0.0085153210174700074,6.2304072483222486e-05,3.436844652008712e-05,0.00033589345994637328,0.0020237168255084815,0.0014106562720224379
'C',0.063900599763531074,3.0149598328778164e-05,0.079320923345172226,0.95770963153220257,0.070139380072329657,0.6676192968418031,0.99644667237501616,0.97728416609323643,0.75643702410932778,0.048484699033494172,0.063058467591488337,0.00068063629717625526,4.0461483367133365e-05,0.83035589911479391,0.030638098856077985,0.0003982706089211682,1.1815707735185025e-05,0.014315445648226541,4.3690433210892516e-05,0.015656214638566621,1.9851110150816833e-05,3.9307778051608264e-05,0.0072786103198776006,0.002287913655150469,6.2899342124580966e-05,0.17830539084245256,0.00037046441066018292,0.042870874656655095,0.00035364644716706151,0.00024143073016783955,0.0010592321211909971,0.0061414196979976002,0.0012184107865126695,0.00094354197759925393,0.00037748642485157835,3.2046394297434387e-06,0.0012211738467161842
'C',0.0096396477254292404,1.672992653847167e-05,0.24563577584712604,0.9586649492218956,0.75075998736688943,0.036791493747392233,0.99964972177897671,0.9433478879627748,0.63845755865140486,0.047316835802332084,0.0059961664015505444,0.029561673982196699,1.4771600160626762e-05,0.95335753959756464,0.00059664460037608838,0.002244251198149686,0.00026043550592887756,0.00046277262186726994,0.00077877036833660083,0.028374865929067222,4.0032377360511681e-06,0.00012251385998803403,0.002052370039365114,2.2601600306598141e-05,0.00021288468294948691,0.015982643832158545,1.8582330540839799e-05,0.030774570980359146,0.00030144109425234367,0.0015152884141892652,0.059363355982282928,0.00029575797541847099,0.00011458419447348759,0.032134545098124516,0.0035804544882939251,1.9679690466914352e-05,0.0002907127211617321
'C',0.013443183046860716,9.6653109084816292e-05,0.25145775602614723,0.94609647535054109,0.096338040950751061,0.12987793463236399,0.99975078977517573,0.98690434220712975,0.16503344746165224,0.016895995673199191,0.051613673439206677,0.0096054484805424539,0.00049307332164532356,0.95354839765641686,0.021550838954686593,0.038597414776167724,0.00053269142923740307,0.035010990601325363,0.0009939169478329964,0.032840104615643129,5.2582864401731893e-05,5.1408876580189416e-05,0.0011466943819884541,6.4365089328865686e-05,9.1266702365497695e-06,0.031340618904267946,0.00046003568968530769,0.024911526778944527,0.0049980450147712671,0.071407342233601678,0.010377154456146925,0.0093096291595863856,8.2333898628488122e-05,0.0010023705129566323,0.0030237110838958687,9.6320011030277934e-06,0.0005988175522834505
'D',0.0071327684397370118,0.00032747275235878143,0.006927087858214602,0.81049189926040333,0.19493083876426834,0.99967063410737833,0.96914286727788901,0.95991931783270357,0.0093040749918693304,0.0080895739226262333,0.99050666695261802,0.00061282133457179859,0.0019721503922317564,0.018384894854251113,0.94796397676992572,1.3659889018474603e-05,1.956816633111693e-05,0.021236807740725932,9.785349585376495e-07,6.690201965173566e-05,0.054792309932654173,2.7709813833085527e-06,1.0369479544673678e-05,0.0052289794529429652,6.4582302668182549e-05,0.0035338952750910303,0.013923253042949179,1.4130515055262341e-05,0.00066258591058774023,0.016491219153822831,0.0032408194905705887,0.0054070079653321642,5.2652006607860858e-06,0.0001315193971268425,0.0091385360170667031,0.00014221599289303242,0.00040828140329916823
